target,fold,model,test_start,test_end,n_test,positive_rate,precision,recall,f1,pr_auc
NextVolSpike,6,HAR,2020-04-02,2020-07-01,882,0.735827664399093,0.9724349157733537,0.9784283513097073,0.9754224270353302,0.9954662140042259
NextVolSpike,7,Majority,2020-07-02,2020-09-30,882,0.6009070294784581,0.0,0.0,0.0,
NextVolSpike,7,Persistence,2020-07-02,2020-09-30,882,0.6009070294784581,0.885,0.6679245283018868,0.7612903225806451,
NextVolSpike,7,LogisticRegression,2020-07-02,2020-09-30,882,0.6009070294784581,0.723994452149792,0.9849056603773585,0.8345323741007195,0.9346473851275312
NextVolSpike,7,LightGBM,2020-07-02,2020-09-30,882,0.6009070294784581,0.7369942196531792,0.9622641509433962,0.8346972176759411,0.9337389420954786
NextVolSpike,7,XGBoost,2020-07-02,2020-09-30,882,0.6009070294784581,0.7613981762917933,0.9452830188679245,0.8434343434343434,0.9244871880972623
NextVolSpike,7,MatchedNaive,2020-07-02,2020-09-30,882,0.6009070294784581,0.9226415094339623,0.9226415094339623,0.9226415094339623,0.9660915036043759
NextVolSpike,7,HAR,2020-07-02,2020-09-30,882,0.6009070294784581,0.9252873563218391,0.9113207547169812,0.9182509505703422,0.9691217721536929
NextVolSpike,8,Majority,2020-10-01,2020-12-30,882,0.40476190476190477,0.0,0.0,0.0,
NextVolSpike,8,Persistence,2020-10-01,2020-12-30,882,0.40476190476190477,0.7888563049853372,0.7535014005602241,0.7707736389684814,
NextVolSpike,8,LogisticRegression,2020-10-01,2020-12-30,882,0.40476190476190477,0.596551724137931,0.969187675070028,0.7385272145144077,0.867914770099758
NextVolSpike,8,LightGBM,2020-10-01,2020-12-30,882,0.40476190476190477,0.6101694915254238,0.907563025210084,0.7297297297297297,0.8458100204198302
NextVolSpike,8,XGBoost,2020-10-01,2020-12-30,882,0.40476190476190477,0.6299212598425197,0.896358543417367,0.7398843930635838,0.8432930158035654
NextVolSpike,8,MatchedNaive,2020-10-01,2020-12-30,882,0.40476190476190477,0.915068493150685,0.9355742296918768,0.925207756232687,0.9679902241594119
NextVolSpike,8,HAR,2020-10-01,2020-12-30,882,0.40476190476190477,0.9148351648351648,0.9327731092436975,0.9237170596393898,0.9645425108368971
NextVolSpike,9,Majority,2020-12-31,2021-04-01,882,0.3163265306122449,0.0,0.0,0.0,
NextVolSpike,9,Persistence,2020-12-31,2021-04-01,882,0.3163265306122449,0.7230769230769231,0.6738351254480287,0.6975881261595547,
NextVolSpike,9,LogisticRegression,2020-12-31,2021-04-01,882,0.3163265306122449,0.5077519379844961,0.9390681003584229,0.6591194968553459,0.743015208013216
NextVolSpike,9,LightGBM,2020-12-31,2021-04-01,882,0.3163265306122449,0.4597495527728086,0.921146953405018,0.6133651551312649,0.7369613225753747
NextVolSpike,9,XGBoost,2020-12-31,2021-04-01,882,0.3163265306122449,0.4835589941972921,0.8960573476702509,0.628140703517588,0.7410519112738232
NextVolSpike,9,MatchedNaive,2020-12-31,2021-04-01,882,0.3163265306122449,0.8772563176895307,0.8709677419354839,0.8741007194244604,0.9198424368592102
NextVolSpike,9,HAR,2020-12-31,2021-04-01,882,0.3163265306122449,0.8617021276595744,0.8709677419354839,0.8663101604278075,0.9227412808664704
NextVolSpike,10,Majority,2021-04-05,2021-07-01,882,0.04195011337868481,0.0,0.0,0.0,
NextVolSpike,10,Persistence,2021-04-05,2021-07-01,882,0.04195011337868481,0.16666666666666666,0.4594594594594595,0.2446043165467626,
NextVolSpike,10,LogisticRegression,2021-04-05,2021-07-01,882,0.04195011337868481,0.17297297297297298,0.8648648648648649,0.2882882882882883,0.17821716430342296
